sentence,categorize
ทุกวันที่ตื่นขึ้นมาฉันรู้สึกเศร้า,s
ทำไมโลกมันถึงได้โหดร้ายขนาดนี้,s
บางครั้งก็อยากหนีไปจากทุกสิ่ง,s
ความเศร้าเหมือนคลื่นที่ซัดเข้ามา,s
ชีวิตตอนนี้มันดูเหมือนจะไม่มีทางออก,s
ทำไมต้องเป็นฉันที่ต้องเผชิญกับเรื่องนี้,s
เศร้าใจที่ไม่มีใครมองเห็นความรู้สึกของฉัน,s
ความทุกข์ทำให้ฉันรู้สึกเหมือนหมดแรง,s
หัวใจมันช้ำไปหมดแล้วจากการเสียใจ,s
เศร้าใจที่ได้เห็นคนที่รักทำให้เจ็บปวด,s
เหมือนฉันไม่มีความหมายในโลกนี้เลย,s
เศร้าที่ไม่สามารถทำให้ทุกอย่างดีขึ้นได้,s
ทำไมฉันรู้สึกผิดหวังตลอดเวลา,s
รู้สึกเหมือนว่าชีวิตมันจะไม่มีความหมายอีกต่อไป,s
ทุกอย่างมันค่อนข้างเศร้าและสับสน,s
บางครั้งก็คิดว่าอยากหายไปจากโลกนี้,s
ฉันไม่รู้จะทำยังไงกับความรู้สึกนี้,c
รู้สึกสับสนกับทุกอย่างที่เกิดขึ้นในตอนนี้,c
ใจมันหวั่นไหวจนไม่รู้จะทำอะไรดี,c
ทุกสิ่งรอบตัวมันดูเหมือนจะไม่เข้าที่,c
ไม่แน่ใจว่าจะตัดสินใจอย่างไรดี,c
กังวลมากว่าอนาคตจะเป็นยังไง,c
บางครั้งก็ไม่แน่ใจในตัวเอง,c
รู้สึกกลัวทุกครั้งที่ต้องตัดสินใจอะไร,c
หัวใจมันเต้นแรงทุกครั้งที่ต้องเผชิญกับปัญหา,c
อยากหลบหนีจากสิ่งที่ทำให้เครียด,c
คิดไม่ออกว่าจะเลือกอะไรดี,c
รู้สึกเหมือนอยู่ในสถานการณ์ที่ไม่สามารถหลีกเลี่ยงได้,c
รู้สึกขาดความมั่นใจในตัวเอง,c
บางครั้งก็กลัวว่าจะทำผิดพลาด,c
ใจมันเหมือนจะหลุดออกจากกันไปหมด,c
อารมณ์มันขึ้นๆ ลงๆ ไม่รู้จะทำยังไง,c
มันทำให้ฉันรู้สึกสับสนทุกครั้งที่ต้องเลือก,c
หัวใจฉันเหมือนจะหลุดจากที่เดิมไปทุกที,c
ทุกๆ วันมันเหมือนจะมีอะไรเปลี่ยนแปลงไปตลอดเวลา,c
บางครั้งฉันก็กลัวว่าจะไม่ได้สิ่งที่ต้องการ,c
ทำไมฉันถึงรู้สึกวิตกกังวลขนาดนี้,c
ทำไมทุกอย่างมันรู้สึกยากเกินไป,c
รู้สึกเหมือนกำลังเผชิญกับอะไรที่ไม่รู้,c
บางครั้งก็รู้สึกว่าไม่รู้จะไปทางไหน,c
กลัวว่าจะไม่สามารถจัดการกับปัญหานี้ได้,c
คิดมากเกินไปจนไม่สามารถตัดสินใจได้,c
สับสนจนไม่รู้จะเริ่มต้นที่ไหน,c
ทุกครั้งที่คิดถึงมัน ฉันรู้สึกกลัว,c
รู้สึกกังวลทุกครั้งที่ต้องทำอะไรที่ไม่คุ้นเคย,c
ไม่แน่ใจในตัวเองจนไม่กล้าทำอะไร,c
บางครั้งก็คิดว่าฉันคงทำผิดพลาด,c
รู้สึกเครียดจนไม่รู้จะหาทางออกจากสถานการณ์นี้ได้ยังไง,c
ทำไมฉันถึงไม่สามารถเผชิญหน้ากับความจริงได้,c
คิดมากจนไม่สามารถตัดสินใจได้,c
รู้สึกเหมือนใจมันจะขาดออกจากกัน,c
บางครั้งฉันรู้สึกเหมือนโดดเดี่ยวในโลกนี้,c
รู้สึกวิตกกังวลกับสิ่งที่ต้องเผชิญในอนาคต,c
ทุกครั้งที่ต้องเลือก ฉันรู้สึกสับสน,c
ไม่รู้ว่าตัวเองต้องการอะไรจริงๆ,c
บางครั้งก็กลัวว่าจะทำให้ทุกอย่างยิ่งแย่ลง,c
กลัวว่าจะไม่ได้สิ่งที่ต้องการในชีวิต,c
รู้สึกท้อแท้กับสิ่งที่ต้องทำ,c
บางครั้งก็ไม่แน่ใจว่าเรากำลังทำอะไร,c
ใจมันรู้สึกขาดความมั่นคงทุกครั้งที่ต้องตัดสินใจ,c
คิดมากจนไม่รู้ว่าจะทำอะไรต่อไป,c
บางครั้งฉันก็กลัวว่าทุกอย่างจะผิดพลาด,c
รู้สึกสับสนมากเกินไปจนไม่สามารถทำอะไรได้,c
กลัวที่จะต้องเผชิญกับสิ่งที่ไม่รู้จัก,c
บางครั้งฉันรู้สึกเหมือนถูกหลอกให้ทำอะไรที่ไม่อยากทำ,c
รู้สึกวิตกกังวลจนไม่สามารถคิดอะไรได้อีก,c
บางครั้งก็ไม่รู้ว่าจะเชื่อใครดี,c
รู้สึกเครียดกับการต้องตัดสินใจในชีวิต,c
สับสนเกี่ยวกับสิ่งที่กำลังเกิดขึ้นในตอนนี้,c
ทุกครั้งที่ต้องเจอกับปัญหาใหม่ๆ ฉันรู้สึกกลัว,c
ไม่มั่นใจในตัวเองและไม่กล้าเผชิญกับอะไรใหม่ๆ,c
บางครั้งก็รู้สึกว่าทุกอย่างมันไม่เป็นไปตามที่คิด,c
หัวใจมันเหมือนจะหยุดเต้นทุกครั้งที่ต้องทำอะไรสำคัญ,c
รู้สึกเหมือนตัวเองกำลังจะสูญเสียอะไรบางอย่าง,c
บางครั้งก็ไม่แน่ใจว่าจะทำอะไรต่อไป,c
รู้สึกวิตกกังวลเมื่อเผชิญกับสถานการณ์ที่ไม่คุ้นเคย,c
ชีวิตมันเหมือนกำลังจะหลุดลอยไป,c
ไม่รู้จะจัดการกับความกลัวในใจได้ยังไง,c
ทุกครั้งที่คิดถึงอนาคต ฉันรู้สึกกังวล,c
บางครั้งก็รู้สึกเหมือนตัวเองหลงทาง,c
ทำไมทุกอย่างมันถึงดูแย่ไปหมด,c
รู้สึกกลัวที่จะผิดพลาดอีกครั้ง,c
ความวิตกกังวลทำให้ฉันไม่สามารถทำอะไรได้,c
กลัวว่าจะเสียสิ่งที่สำคัญไป,c
รู้สึกเหมือนถูกบังคับให้ทำสิ่งที่ไม่อยากทำ,c
บางครั้งก็คิดว่าตัวเองทำไม่ได้,c
บางครั้งก็ไม่รู้จะเริ่มต้นที่ไหนเมื่อเจอปัญหาใหม่ๆ,c
คิดมากจนไม่สามารถตัดสินใจได้,c
สับสนกับทางเลือกที่มีอยู่มากมาย,c
ไม่มั่นใจว่าจะทำอะไรให้ดีขึ้นได้,c
กลัวที่จะเผชิญกับความจริงที่ไม่อยากรู้,c
รู้สึกว่ามันไม่มีทางออกจากสถานการณ์นี้,c
บางครั้งก็กลัวว่าทุกอย่างจะพังทลายไป,c
ทุกๆ สิ่งที่ทำให้ฉันรู้สึกสับสน,c
รู้สึกขาดความมั่นคงทางอารมณ์,c
กลัวว่าทุกอย่างจะไม่เป็นไปตามที่คาดหวัง,c
รู้สึกไม่แน่ใจในความสามารถของตัวเอง,c
คิดมากจนไม่รู้จะเลือกทางไหนดี,c
ไม่กล้าที่จะลองอะไรใหม่ๆ เพราะกลัวล้มเหลว,c
รู้สึกกังวลทุกครั้งที่ต้องเจอกับสถานการณ์ที่ไม่รู้จัก,c
บางครั้งก็รู้สึกว่าไม่สามารถรับมือกับสถานการณ์นี้ได้,c
ทุกสิ่งที่ทำเหมือนจะไม่ถูกต้อง,c
รู้สึกเหมือนชีวิตกำลังตกอยู่ในความสับสน,c
กลัวว่าทุกสิ่งที่ทำจะล้มเหลว,c
ชีวิตมันสับสนจนไม่รู้ว่าจะเริ่มต้นที่ไหน,c
รู้สึกกลัวในสิ่งที่ไม่เคยเจอมาก่อน,c
บางครั้งฉันก็ไม่มั่นใจว่าทำอะไรได้ถูกต้อง,c
รู้สึกเหมือนมีความสับสนเข้ามาในชีวิตตลอดเวลา,c
ใจมันไม่มั่นคงและไม่สามารถทำอะไรได้,c
บางครั้งก็รู้สึกว่าชีวิตมันขาดความแน่นอน,c
ทำไมฉันถึงรู้สึกวิตกกังวลกับทุกๆ สิ่ง,c
บางครั้งฉันก็ไม่รู้จะทำยังไงกับความคิดของตัวเอง,c
รู้สึกกลัวที่จะพลาดอะไรที่สำคัญไป,c
บางครั้งก็รู้สึกว่าไม่มีทางออกจากสถานการณ์นี้,c
คิดมากจนไม่สามารถทำอะไรได้,c
ไม่รู้จะทำยังไงกับความสับสนที่เกิดขึ้น,c
โกรธมาก!,a
รำคาญสุดๆ,a
โมโหมากวันนี้,a
สุดจะทน!,a
ทำไมต้องมาเจออะไรแบบนี้,a
อารมณ์เสียมาก,a
โกรธจนพูดไม่ออก,a
ไม่เข้าใจว่าทำไมต้องเป็นแบบนี้,a
ขัดใจจริงๆ,a
หงุดหงิดเกินไปแล้ว,a
รู้สึกโกรธจนไม่อยากพูดกับใคร,a
อารมณ์เสียที่ต้องมาทำอะไรแบบนี้,a
ทำไมถึงไม่มีใครเข้าใจบ้างเลย,a
หงุดหงิดทุกอย่างที่เกิดขึ้นวันนี้,a
โกรธมาก ทำไมเขาต้องทำแบบนี้,a
สุดจะทนกับพฤติกรรมแบบนี้,a
หงุดหงิดทุกครั้งที่ต้องมารอแบบนี้,a
รำคาญเสียงดังพวกนี้มาก,a
ทำไมทุกอย่างต้องเป็นแบบนี้เสมอ,a
ไม่ชอบเลยที่ต้องเจอเรื่องแบบนี้,a
โกรธที่ถูกโกงแบบนี้,a
โมโหที่ต้องมาเสียเวลาโดยเปล่าประโยชน์,a
รำคาญมาก ทำไมคนพวกนี้ถึงไม่คิดก่อนพูด,a
โมโหมากที่ถูกต่อว่าทั้งที่ไม่ได้ทำผิด,a
เบื่อที่จะต้องมานั่งฟังเรื่องเดิม ๆ,a
ทำไมต้องเจอเรื่องแบบนี้ทุกวัน,a
รำคาญที่คนไม่ทำตามกฎ,a
อารมณ์เสียที่ต้องทำงานกับคนแบบนี้,a
หงุดหงิดที่ถูกตำหนิอย่างไม่มีเหตุผล,a
โกรธมากที่ถูกโกหก,a
สุดจะทนกับสภาพจราจรวันนี้,a
ทำไมคนขับรถถึงแย่ขนาดนี้,a
โมโหสุด ๆ ที่ถูกเอาเปรียบ,a
เบื่อมากกับสถานการณ์แบบนี้,a
หงุดหงิดที่ต้องมานั่งแก้ปัญหาคนอื่น,a
โมโหที่ไม่มีใครฟัง,a
รำคาญที่ต้องรอคิวนานขนาดนี้,a
อารมณ์เสียที่ทุกอย่างไม่เป็นไปตามแผน,a
โกรธตัวเองที่ทำผิดพลาด,a
ไม่เข้าใจว่าทำไมคนถึงเห็นแก่ตัวขนาดนี้,a
หงุดหงิดที่ต้องทนอยู่ในสังคมแบบนี้,a
โกรธที่ถูกมองข้าม,a
รำคาญที่ต้องมานั่งอธิบายเรื่องเดิมซ้ำ ๆ,a
โมโหมากที่ถูกบังคับให้ทำอะไรที่ไม่อยากทำ,a
หงุดหงิดที่ต้องทนกับคนแบบนี้ทุกวัน,a
โกรธที่ถูกตำหนิทั้งที่พยายามเต็มที่แล้ว,a
เบื่อมากที่ต้องทำอะไรซ้ำไปซ้ำมา,a
สุดจะทนกับคนไม่มีความรับผิดชอบ,a
รำคาญที่ทุกคนไม่ใส่ใจ,a
โมโหที่โดนขัดจังหวะตอนกำลังทำงาน,a
ทำไมต้องมาเสียเวลากับเรื่องไร้สาระ,a
โกรธที่โดนเอาเปรียบแบบนี้,a
อารมณ์เสียที่โดนตำหนิไม่เป็นธรรม,a
โมโหที่ทุกอย่างไม่เป็นไปตามแผน,a
หงุดหงิดที่ต้องคอยรอคนอื่นเสมอ,a
รำคาญที่ต้องมาแก้ปัญหาของคนอื่น,a
โกรธตัวเองที่ไม่กล้าตัดสินใจ,a
เบื่อมากที่ต้องมาเถียงกับคนไม่มีเหตุผล,a
โมโหสุด ๆ กับระบบงานที่ล่าช้า,a
ทำไมต้องทนอยู่ในสถานการณ์แบบนี้,a
รำคาญที่ต้องเจอเรื่องเดิม ๆ ทุกวัน,a
โกรธที่โดนโกหกซ้ำ ๆ,a
หงุดหงิดที่ต้องมาอธิบายอะไรเดิม ๆ,a
โมโหที่ไม่มีใครรับผิดชอบอะไรเลย,a
รำคาญที่ต้องทนอยู่กับคนแบบนี้,a
โกรธมากที่ถูกต่อว่าโดยไม่มีเหตุผล,a
อารมณ์เสียที่ไม่มีใครเข้าใจ,a
รำคาญมากที่ต้องทนฟังเสียงดัง,a
โกรธที่โดนโกงเงิน,a
หงุดหงิดที่ถูกขัดจังหวะตอนกำลังทำงาน,a
โมโหสุด ๆ กับความไม่ยุติธรรม,a
เบื่อที่จะต้องมาอธิบายเรื่องเดิม ๆ,a
โกรธมากที่ถูกปฏิเสธโดยไม่มีเหตุผล,a
หงุดหงิดที่ทุกคนไม่ทำตามแผน,a
รำคาญที่ต้องทนอยู่กับคนไม่มีความรับผิดชอบ,a
อารมณ์เสียที่ต้องมานั่งรอโดยไม่มีเหตุผล,a
โกรธที่ถูกหักหลังแบบนี้,a
โมโหสุด ๆ ที่ไม่มีใครฟัง,a
เบื่อมากที่ต้องทำอะไรแบบเดิมทุกวัน,a
รำคาญเสียงโทรศัพท์ดังตลอดเวลา,a
หงุดหงิดที่ถูกขัดจังหวะขณะประชุม,a
โมโหที่ถูกเอาเปรียบในการทำงาน,a
โกรธตัวเองที่พลาดโอกาสสำคัญ,a
อารมณ์เสียกับการจราจรที่ติดขัด,a
โมโหที่ถูกเข้าใจผิด,a
เบื่อมากที่ต้องทนอยู่ในสถานการณ์แบบนี้,a
รำคาญที่ต้องอธิบายอะไรซ้ำไปซ้ำมา,a
โกรธที่ต้องเสียเวลามากมายไปกับเรื่องไร้สาระ,a
หงุดหงิดที่ไม่มีใครช่วยเหลือ,a
อารมณ์เสียที่ต้องรับผิดชอบงานทั้งหมดคนเดียว,a
โกรธที่ถูกต่อว่าโดยไม่มีเหตุผล,a
โมโหสุด ๆ กับความไม่เป็นธรรม,a
รำคาญที่ต้องคอยตามงานคนอื่นตลอดเวลา,a
หงุดหงิดที่ถูกตำหนิโดยไม่เป็นธรรม,a
โมโหที่ไม่มีใครเข้าใจมุมมองของเรา,a
โกรธที่โดนโกงเงินอีกแล้ว,a
เบื่อมากที่ต้องทำอะไรเดิม ๆ ซ้ำไปซ้ำมา,a
อารมณ์เสียที่ต้องเสียเวลากับเรื่องไม่เป็นเรื่อง,a
โกรธที่ถูกบังคับให้ทำสิ่งที่ไม่อยากทำ,a
รู้สึกสับสนมาก,c
ไม่รู้ว่าควรทำยังไงต่อไป,c
คิดมากเกินไปจนปวดหัว,c
ทำไมทุกอย่างมันดูยุ่งเหยิงไปหมด,c
รู้สึกเหมือนหลงทางในความคิดของตัวเอง,c
ไม่แน่ใจเลยว่าคิดถูกหรือเปล่า,c
กลัวการตัดสินใจผิดพลาด,c
ใจไม่อยู่กับเนื้อกับตัวเลย,c
รู้สึกวุ่นวายในหัว,c
ทำไมต้องคิดมากกับเรื่องเล็ก ๆ แบบนี้,c
เครียดจนคิดอะไรไม่ออกเลย,c
ไม่มั่นใจในสิ่งที่ทำเลย,c
กระวนกระวายใจมาก,c
ทำไมรู้สึกกังวลกับทุกเรื่องขนาดนี้,c
รู้สึกไม่มั่นคงทางอารมณ์เลย,c
อยากให้ทุกอย่างชัดเจนกว่านี้,c
ไม่รู้ว่าทำไมถึงรู้สึกแบบนี้,c
คิดมากจนนอนไม่หลับ,c
รู้สึกเหมือนมีอะไรติดค้างในใจตลอดเวลา,c
ทำไมถึงตัดสินใจอะไรยากขนาดนี้,c
ไม่รู้ว่าควรเดินไปทางไหนต่อ,c
สมองเหมือนหมุนติ้วไปหมด,c
รู้สึกเหมือนกำลังหลงทางในความคิด,c
เครียดที่ต้องเลือกระหว่างสองทาง,c
กลัวว่าตัดสินใจพลาดไปแล้ว,c
รู้สึกว่าทำอะไรก็ไม่ถูกเลย,c
อยากให้ทุกอย่างง่ายกว่านี้,c
ทำไมทุกเรื่องต้องซับซ้อนขนาดนี้,c
รู้สึกเหมือนโดนดึงไปคนละทาง,c
อยากหยุดคิดแต่ทำไม่ได้,c
ทำไมต้องมานั่งกังวลเรื่องนี้ด้วย,c
รู้สึกไม่แน่ใจเกี่ยวกับทุกอย่าง,c
ทำไมต้องลังเลกับทุกการตัดสินใจ,c
กังวลเกี่ยวกับอนาคตมากเกินไป,c
รู้สึกว่าทุกอย่างมันไม่แน่นอน,c
กลัวว่าจะทำผิดพลาดอีก,c
รู้สึกเหมือนไม่สามารถควบคุมอะไรได้เลย,c
ไม่รู้ว่าความรู้สึกแบบนี้จะหายไปเมื่อไหร่,c
รู้สึกเหมือนต้องทำอะไรบางอย่างแต่ไม่รู้ว่าคืออะไร,c
กังวลว่าคนอื่นจะคิดยังไง,c
ทำไมต้องรู้สึกเครียดตลอดเวลา,c
ไม่รู้ว่าทำไมถึงรู้สึกไม่มั่นคงเลย,c
อยากให้ทุกอย่างมีคำตอบที่ชัดเจน,c
รู้สึกเหมือนสมองเต็มไปด้วยความคิดยุ่งเหยิง,c
ทำไมต้องมากังวลกับเรื่องที่ยังไม่เกิดขึ้น,c
ไม่สามารถปล่อยวางได้เลย,c
อยากหยุดคิดแต่ก็ทำไม่ได้,c
รู้สึกเหมือนต้องตัดสินใจเรื่องสำคัญตลอดเวลา,c
ไม่แน่ใจว่าควรเชื่อในสัญชาตญาณของตัวเองหรือเปล่า,c
ทำไมต้องมีเรื่องให้คิดมากขนาดนี้,c
รู้สึกเหมือนเวลาหมดไปกับการคิดมากเกินไป,c
กังวลว่าตัวเองทำได้ไม่ดีพอ,c
รู้สึกว่าทุกอย่างมันยุ่งเหยิงเกินไป,c
ไม่รู้ว่าทำไมถึงรู้สึกแปลก ๆ,c
ทำไมถึงรู้สึกไม่มั่นคงตลอดเวลา,c
กังวลว่าทุกอย่างจะพังลง,c
รู้สึกว่าคิดเยอะเกินไป,c
ไม่สามารถควบคุมอารมณ์ตัวเองได้เลย,c
ทำไมต้องรู้สึกแบบนี้ทุกครั้งที่เจอปัญหา,c
รู้สึกว่ามีบางอย่างผิดปกติแต่ไม่รู้ว่าคืออะไร,c
คิดมากจนไม่มีสมาธิทำอะไรเลย,c
ไม่แน่ใจว่าคิดถูกหรือผิด,c
อยากจะหยุดคิดแต่สมองก็ยังทำงานตลอดเวลา,c
รู้สึกเหมือนกำลังเดินอยู่ในหมอกหนา,c
ไม่รู้ว่าควรทำยังไงให้ตัวเองสงบลง,c
รู้สึกไม่มั่นใจในตัวเองเลย,c
ทำไมต้องเป็นคนคิดมากขนาดนี้,c
กังวลกับเรื่องที่ยังไม่เกิดขึ้น,c
ไม่เข้าใจว่าทำไมต้องเครียดขนาดนี้,c
รู้สึกเหมือนทุกอย่างหมุนเร็วเกินไป,c
รู้สึกว่าตัวเองกำลังจมอยู่ในความคิด,c
กังวลว่าทุกอย่างจะไม่เป็นไปตามแผน,c
รู้สึกเหมือนโดนดึงไปหลายทางพร้อมกัน,c
คิดวนไปวนมาไม่จบสิ้น,c
ไม่แน่ใจเลยว่าควรเลือกทางไหน,c
รู้สึกว่าชีวิตเต็มไปด้วยความไม่แน่นอน,c
ไม่สามารถทำใจให้สงบลงได้เลย,c
ทำไมต้องมากังวลกับเรื่องนี้ขนาดนี้,c
รู้สึกเหมือนทุกอย่างมันไม่อยู่ในมือของเราเลย,c
ทำไมรู้สึกไม่มั่นคงกับทุกอย่างรอบตัว,c
รู้สึกเหมือนกำลังสูญเสียการควบคุมชีวิต,c
กลัวว่าสิ่งที่ทำไปจะผิดพลาด,c
รู้สึกเหมือนอยู่ท่ามกลางพายุความคิด,c
คิดมากจนปวดหัว,c
อยากจะหาคำตอบแต่ไม่มีอะไรชัดเจนเลย,c
ไม่รู้ว่าควรเริ่มจากตรงไหนก่อน,c
รู้สึกว่าอนาคตมันดูมืดมน,c
กลัวว่าจะทำให้ทุกอย่างแย่ลง,c
ไม่เข้าใจว่าทำไมตัวเองถึงคิดมากขนาดนี้,c
รู้สึกว่าทุกอย่างมันหนักเกินไป,c
อยากให้ทุกอย่างเรียบง่ายกว่านี้,c
รู้สึกเหมือนกำลังหลงทางในชีวิต,c
ไม่สามารถตัดสินใจอะไรได้เลย,c
รู้สึกเหมือนอยู่ในวังวนของความคิดตัวเอง,c
รู้สึกหมดแรง,s
วันนี้ไม่อยากทำอะไรเลย,s
ทำไมทุกอย่างมันดูน่าเบื่อแบบนี้,s
ไม่มีแรงจะลุกจากเตียง,s
รู้สึกเหมือนโดดเดี่ยวตลอดเวลา,s
ทำไมรู้สึกว่าทุกคนห่างไกลออกไป,s
ไม่มีอะไรทำให้รู้สึกดีขึ้นเลย,s
อยากร้องไห้แต่ไม่มีน้ำตา,s
รู้สึกว่าตัวเองไม่มีค่า,s
วันนี้มันช่างเงียบเหงาเหลือเกิน,s
ทำไมต้องรู้สึกอ้างว้างแบบนี้,s
ไม่มีใครเข้าใจเราเลย,s
รู้สึกเหนื่อยกับทุกอย่างรอบตัว,s
ทุกอย่างดูมืดมนไปหมด,s
อยากหายไปจากโลกนี้,s
ทำไมถึงไม่มีใครอยู่ข้างเราเลย,s
เบื่อทุกอย่างที่ต้องทำ,s
ไม่มีแรงแม้แต่จะพูด,s
รู้สึกเหมือนถูกทิ้งไว้ข้างหลัง,s
ไม่เห็นจุดหมายของชีวิตเลย,s
รู้สึกเหมือนกำลังจมดิ่งลงไป,s
ไม่อยากทำอะไรเลยจริง ๆ,s
ทุกอย่างดูไร้ความหมาย,s
เหมือนเดินอยู่ในความมืด,s
คิดถึงวันเก่า ๆ ที่ดีกว่านี้,s
ไม่รู้ว่าต้องไปต่อยังไง,s
ทุกอย่างมันเหนื่อยเกินไป,s
ทำไมต้องรู้สึกเศร้าทุกวัน,s
อยากหลับไปแล้วไม่ต้องตื่นขึ้นมาอีก,s
รู้สึกเหมือนถูกลืม,s
ไม่มีใครสนใจว่าเรารู้สึกยังไง,s
เหนื่อยจนไม่อยากสู้ต่อแล้ว,s
ทำไมชีวิตต้องเป็นแบบนี้,s
อยากร้องไห้แต่ไม่มีเหตุผล,s
รู้สึกโดดเดี่ยวในโลกที่กว้างใหญ่,s
ไม่อยากรับรู้สิ่งใดแล้ว,s
ทุกอย่างรอบตัวดูไร้สีสัน,s
ทำไมไม่มีอะไรเปลี่ยนแปลงเลย,s
เหนื่อยกับการต้องยิ้มทั้งที่ไม่อยากทำ,s
รู้สึกว่าตัวเองไร้ค่าเหลือเกิน,s
อยากมีความสุขแต่ทำไม่ได้,s
ทำไมถึงรู้สึกเศร้าตลอดเวลา,s
เบื่อกับชีวิตที่เป็นอยู่,s
อยากหลบหนีจากทุกอย่าง,s
รู้สึกเหมือนถูกกดดันจากทุกด้าน,s
ไม่มีความหวังเหลืออยู่เลย,s
รู้สึกเหมือนกำลังจมหายไป,s
ทำไมต้องรู้สึกแบบนี้ตลอด,s
ทุกอย่างรอบตัวดูเงียบเหงา,s
อยากให้ทุกอย่างจบลงเร็ว ๆ,s
ไม่มีแรงจะสู้กับอะไรแล้ว,s
ชีวิตมันเหนื่อยเกินไป,s
รู้สึกเหมือนถูกมองข้ามตลอดเวลา,s
ไม่เห็นทางออกจากความเศร้านี้เลย,s
อยากมีใครสักคนที่เข้าใจ,s
ไม่มีความสุขกับอะไรเลย,s
ทำไมไม่มีอะไรดีขึ้นเลย,s
ทุกอย่างมันซ้ำซากและน่าเบื่อ,s
อยากกลับไปเป็นเด็กอีกครั้ง,s
รู้สึกเหมือนถูกทิ้งไว้ลำพัง,s
ไม่อยากทำอะไรเลยจริง ๆ,s
เหนื่อยกับทุกความสัมพันธ์,s
ไม่มีใครสนใจว่าเรารู้สึกยังไงจริง ๆ,s
อยากหลับไปแล้วไม่ต้องตื่นมาเจออะไรแบบนี้อีก,s
รู้สึกเหมือนโลกนี้ไม่มีที่สำหรับเรา,s
ทำไมต้องรู้สึกเศร้าแบบนี้ทุกวัน,s
ไม่เข้าใจว่าทำไมต้องรู้สึกแบบนี้,s
ทุกอย่างมันเหนื่อยเกินไป,s
ไม่มีแรงจะเดินหน้าต่อแล้ว,s
รู้สึกเหมือนกำลังหลงทางในความเศร้า,s
อยากได้ความสุขคืนมา,s
เหนื่อยกับการแสร้งว่าทุกอย่างโอเค,s
ทำไมทุกอย่างมันยากขนาดนี้,s
ไม่มีแรงจะยิ้มให้ใครแล้ว,s
รู้สึกเหมือนถูกโลกทั้งใบทอดทิ้ง,s
อยากมีคนที่เข้าใจความรู้สึกนี้,s
ทุกวันที่ผ่านมามันช่างหนักหนา,s
รู้สึกเหมือนถูกลืมจากทุกคน,s
ทำไมชีวิตต้องเป็นแบบนี้ตลอด,s
เหนื่อยกับการต้องอดทน,s
ไม่มีแรงจะพยายามอีกแล้ว,s
ทำไมไม่มีอะไรเปลี่ยนไปเลย,s
อยากให้ทุกอย่างจบลงเร็ว ๆ,s
รู้สึกเหมือนกำลังตกลงไปในหลุมลึก,s
เหนื่อยเกินกว่าจะฝืนยิ้มต่อไป,s
ไม่เห็นอนาคตของตัวเองเลย,s
รู้สึกเหมือนทุกอย่างมันไร้ความหมาย,s
อยากมีความสุขแต่มันยากเหลือเกิน,s
ง่วงนอน,s
ไม่เห็นความหวังในวันพรุ่งนี้เลย,s
เหนื่อยกับการต้องเดินต่อไป,s
รู้สึกเหมือนอยู่ตัวคนเดียวบนโลกนี้,s
อยากกอดใครสักคนแต่ไม่มีใครอยู่ตรงนี้,s
ทำไมต้องรู้สึกเศร้าทั้งที่ไม่ควรจะเป็นแบบนี้,s
ไม่เข้าใจว่าทำไมชีวิตต้องยากขนาดนี้,s
รู้สึกเหมือนกำลังจมอยู่ในความมืด,s
อยากให้ทุกอย่างดีขึ้นแต่ไม่รู้ต้องทำยังไง,s
ไม่มีพลังจะสู้ต่อแล้ว,s
รู้สึกเหมือนเป็นภาระของทุกคน,s
อยากหายไปจากที่นี่,s
ไม่มีอะไรทำให้รู้สึกดีขึ้นเลย,s
รู้สึกเหมือนชีวิตไม่มีจุดหมาย,s
คิดมากจนสมองล้า,c
หัวตื้อไม่รู้จะทำอะไรดี,c
หลงลืมสิ่งที่เพิ่งพูดไป,c
คิดฟุ้งซ่านไปเรื่อย ๆ,c
สมองเบลอไม่สามารถตัดสินใจได้,c
เหมือนจะจำอะไรได้ แต่ก็นึกไม่ออก,c
ใจลอยไม่อยู่กับเนื้อกับตัว,c
คิดเรื่องงานจนไม่สามารถนอนหลับได้,c
อารมณ์แปรปรวนตลอดเวลา,c
ผ่อนคลายแล้วแต่ใจยังคงว้าวุ่น,c
รู้สึกเบื่อหน่ายทำอะไรก็ไม่สนุก,c
คิดมากเกินไปจนไม่สามารถมีสมาธิ,c
ไม่สามารถนั่งนิ่งได้คิดถึงแต่เรื่องงาน,c
อยากทำหลายอย่างแต่ไม่มีพลังทำ,c
หัวใจสับสนไม่รู้จะเริ่มจากตรงไหน,c
เหนื่อยเพราะคิดมากไปทุกเรื่อง,c
คิดมากจนเกิดความเครียดสะสม,c
คิดถึงอดีตแล้วรู้สึกแย่,c
ต้องการเวลาเงียบสงบเพื่อทำให้สมองปลอดโปร่ง,c
หัวร้อนจนเกือบระเบิด,a
โกรธจนหน้าชา,a
อารมณ์ร้อนพุ่งขึ้นทันที,a
หัวใจเต้นเร็วเพราะโกรธ,a
ไม่สามารถควบคุมอารมณ์ได้,a
อยากทำลายทุกอย่างในความโกรธ,a
รู้สึกเหมือนมีไฟอยู่ในตัว,a
โกรธมากจนหายใจไม่ทัน,a
เครียดจนเกิดอารมณ์ร้อน,a
ไม่สามารถใจเย็นได้,a
คิดมากจนโกรธตัวเอง,a
พยายามอดทนแต่ก็ไม่ไหว,a
ไม่สามารถฟังคำอธิบายได้เพราะความโกรธ,a
อารมณ์ร้อนพุ่งขึ้นเร็วเกินไป,a
